branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
16290,2263,9565,26728,35369,318069,72894,1195500,3254,19335,12102,0,0,0,0,0,0,0,0,0,0
16292,2123,9224,26944,33828,306726,72921,1152750,3251,19340,12094,0,0,0,0,0,0,0,0,0,0
16268,2129,8267,25864,35131,312366,72827,1033375,3213,19315,12095,0,0,0,0,0,0,0,0,0,0
16644,2158,9552,28699,34791,317684,74817,1194000,3346,19900,12479,0,0,0,0,0,0,0,0,0,0
18850,2366,9971,21323,37974,331669,87031,1246500,3836,23504,14484,0,0,0,0,0,0,0,0,0,0
16511,2211,9252,26097,35204,307720,74280,1156250,3273,19669,12342,0,0,0,0,0,0,0,0,0,0
16415,2177,9568,29218,34973,318154,73798,1195875,3267,19452,12177,0,0,0,0,0,0,0,0,0,0
17201,2346,9639,24787,37973,320536,77948,1204625,3310,20672,12911,0,0,0,0,0,0,0,0,0,0
16270,2242,9028,23949,36078,300252,72806,1128500,3199,19313,12088,0,0,0,0,0,0,0,0,0,0
16257,2115,8699,21165,32709,289269,72780,1087500,3089,19305,12080,0,0,0,0,0,0,0,0,0,0
16641,2194,9475,28014,35521,315187,74762,1184500,3365,19896,12478,0,0,0,0,0,0,0,0,0,0
16273,2197,9322,28242,37194,310019,72815,1165250,3204,19314,12092,0,0,0,0,0,0,0,0,0,0
16520,2127,9279,27852,35495,308568,74398,1159750,3259,19677,12351,0,0,0,0,0,0,0,0,0,0
17129,2319,9715,26879,36425,323078,77499,1214500,3560,20782,12813,0,0,0,0,0,0,0,0,0,0
16312,2251,9045,24212,36091,300768,73053,1130750,3239,19379,12131,0,0,0,0,0,0,0,0,0,0
16542,2194,8658,26965,34045,327731,74391,1082250,3207,19693,12366,0,0,0,0,0,0,0,0,0,0
16283,2178,8928,27018,35500,296893,72863,1115875,3305,19324,12103,0,0,0,0,0,0,0,0,0,0
16615,2304,9455,28383,36064,314517,75114,1182000,3281,19773,12410,0,0,0,0,0,0,0,0,0,0
16403,2270,10162,31647,37844,337990,73751,1270375,3212,19441,12177,0,0,0,0,0,0,0,0,0,0
16443,2243,8487,30185,36364,384022,73896,1061000,3259,19474,12199,0,0,0,0,0,0,0,0,0,0
16284,2183,8596,25427,35551,309419,72887,1074375,3260,19331,12099,0,0,0,0,0,0,0,0,0,0
17279,2357,9873,30285,38122,328331,78439,1234000,3388,20905,13079,20703,0,0,0,0,0,0,0,0,0
19949,2612,11003,29761,38350,365905,92582,1375375,3749,24667,14989,0,0,0,0,0,0,0,0,0,0
