branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
3285,461,1776,4538,7141,60611,14572,227875,599,3896,2445,3998,327,49,451,67,3903,7,2443,99,0
3269,450,1823,5355,6582,58569,14562,207750,552,3891,2437,4475,340,33,470,70,3878,5,2429,116,0
3281,466,2005,6833,7500,71356,14717,268375,583,3862,2416,4198,309,30,473,76,4193,5,2663,101,0
638381,26486,107017,81744,7248,61086,14580,229625,626,3870,2436,4391,325,29,462,79,3862,6,2416,120,0
3481,411,1057,3405,6966,60098,14918,225750,589,3888,2432,4539,326,40,449,69,3858,5,2416,105,0
3289,447,1221,4526,7121,61939,14811,232875,569,3878,2429,4522,329,31,451,75,3888,5,2433,105,0
3472,392,1860,3522,7025,58984,14574,221625,600,3906,2448,4626,308,44,456,72,3862,4,2418,108,0
3273,458,1914,5077,7433,58643,14714,220375,602,3874,2427,4228,332,44,462,77,3881,5,2430,103,0
3285,455,1842,5421,220012,4193433,4426544,4125875,699,4972,3077,4734,324,34,448,75,3862,5,2416,155,0
3283,464,1898,4451,7005,61291,14749,230375,583,3886,2432,4033,302,38,478,71,3875,6,2424,109,0
3257,436,1840,5127,7115,60429,14530,227125,614,3900,2438,4458,304,50,480,74,3858,6,2416,105,0
3249,368,1615,3396,7229,57223,14558,215125,610,4317,2654,3556,311,39,462,69,3862,5,2423,118,0
3510,379,1826,5428,12446,156435,31642,285000,577,3862,2416,4403,324,40,444,66,3865,5,2423,106,0
3250,444,1773,4372,7012,60144,14738,226125,577,3891,2440,4538,327,55,408,80,3879,3,2429,152,0
3262,356,1790,5267,7044,90681,14540,105125,575,3890,2435,4399,303,41,464,66,3880,4,2430,101,0
3260,448,1875,5479,7347,63899,14620,204750,619,3899,2440,4371,314,47,463,67,3889,5,2436,130,0
3312,445,1867,5186,6872,132689,14576,181875,607,3922,2458,4414,301,30,444,77,3874,6,2425,115,0
4528,552,2274,5697,6261,55110,14770,207125,566,3867,2419,4371,331,36,464,71,3857,7,2420,95,0
3303,470,1957,5680,7041,62105,14989,233375,604,3881,2427,4504,316,27,348,67,3873,7,2422,104,0
3302,456,1908,5312,223705,4773340,4454054,4057375,586,3862,2416,4341,309,41,450,84,4178,6,2650,111,0
3259,458,1715,3789,7125,60907,14612,228750,597,3868,2424,4402,315,34,449,76,3910,5,2448,113,0
3278,470,2048,4810,7072,72160,14762,155625,739,5421,3381,5446,350,47,484,73,3886,5,2432,99,0
3304,451,1728,3688,7008,90757,14764,161500,571,3862,2416,4291,343,33,439,75,3917,5,2453,113,0
3258,448,1827,4322,7126,75416,14588,155500,624,4217,2672,4456,309,48,455,67,3862,7,2416,183,0
3620,492,2027,5724,7180,62344,14738,234250,590,3862,2423,3876,291,32,459,68,3881,4,2432,145,0
3294,356,1676,5681,7499,72762,14546,273375,1001,7346,4268,4948,321,38,368,73,1233250,460,642509,1329,0
3262,449,2074,4691,7251,62846,14583,236250,564,3865,2419,4476,292,33,462,65,3860,5,2416,104,0
3248,377,1714,4299,7322,68772,14581,258500,37059,594289,308254,74872,323,49,455,74,3891,7,2435,113,0
3271,446,1865,5248,7297,71689,14567,159875,594,3911,2445,4526,366,49,497,81,3886,4,2432,103,0
3278,466,1848,5550,7393,65251,14774,245250,578,3885,2440,4143,298,40,462,69,3872,5,2425,100,0
3250,447,1218,3836,6496,55553,14523,208875,600,3920,2457,3857,311,26,437,73,3920,9,2456,107,0
3255,445,1861,4192,6237,60977,14580,175875,906,7900,4998,6694,312,37,452,72,3862,5,2416,96,0
3257,448,1838,5172,7117,59780,14583,224750,601,3862,2416,4087,324,38,457,76,3875,5,2427,182,0
