L1-dcache-stores,LLC-loads,dTLB-stores,L1-dcache-load-misses,cache-references,dTLB-store-misses,L1-dcache-loads,L1-icache-load-misses,LLC-stores,branch-instructions,branch-loads,branch-load-misses,branch-misses,cache-misses,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,instructions,Class
967147333,29600459,970014577,69361397,62211116,1081833,729281477,23338161,6147986,1166487249,1166502156,35954713,37287900,12331511,6888454152,8873293,1827343102,3048950,6619319373,0
107284015,7955499,115605853,18275085,3362309,55023,26363831,1314714,412405,38387484,38387484,1442009,806674,1230556,178579615,479421,26452438,83921,79588134,0
68732890,5091650,65691936,11572566,3319383,62974,29882605,1653915,212283,14824790,14824790,733127,794501,949470,166539388,463116,33912219,86470,103622742,0
98111574,5481416,91886659,12760819,4003216,60139,58789734,2117375,239136,23499004,23499004,1021345,935414,1043458,221236485,431314,47816034,160135,153960219,0
56282308,4958217,65815073,11638679,4830284,54904,26397405,1881354,672527,52245168,52245082,1226577,1089109,1297596,244249231,526226,38032919,117315,116159489,0
192790002,6230043,191204188,16179220,25840499,1209100,580992985,13921083,7519124,1282778909,1282749953,40289974,42473953,12739072,8268230573,15686563,402245159,546322,1499144786,0
47631009,2327759,42233803,4854553,6533813,122921,67813655,2949793,1394130,54288814,54287032,2679094,2046580,2039643,949707985,2008351,64720110,136300,224468330,0
44313467,2519580,44966802,5054942,5557802,141673,67082156,2221833,2501279,2134797335,2134699803,239428147,703826,845351,213793752,398526,63033061,118563,218303266,0
48997732,2744183,46127774,5793032,6499093,125192,149923223,2140073,170531,15273593,15273593,616787,577867,724768,157747796,316090,112829010,127977,365858406,0
43810538,1775614,50733371,4041385,8633930,189084,46189933,2718006,384578,65153456,65155431,1134758,929943,654870,223353392,441389,107708713,3077409,425338521,0
124514087,6164733,116602742,13748919,26392084,515645,366510691,14348136,2242365,319589021,319591759,10019704,10220534,2232712,1947816237,2895301,362671659,1063447,1463609902,0
6750870,491584,5842664,838992,1376881,30099,7957331,470016,82100,4746755,4746755,269854,295635,355004,71608516,185921,9165223,20093,28776638,0
6232347,529445,6937164,1193894,1031574,28586,10257647,505576,87520,5235810,5235810,280522,315691,389648,77011038,210766,9931379,31223,31228037,0
6739364,458470,5899277,796420,1164942,22533,11711135,469340,81932,4748076,4748076,254253,280130,327277,72672465,175708,10368430,20566,39144288,0
16323484,917247,17680887,1507342,2273420,31212,11992341,799586,299609,43793235,43793235,874890,931323,625750,278925672,441763,20477579,70427,73512964,0
52240686,1476058,65069993,4212268,6914182,191844,95601092,4666303,582410,90071500,90070319,3295329,3282855,748384,564148992,1147087,148472274,375702,525790073,0
5496331,420920,6241633,549078,1023590,21443,10168790,436752,65358,4383090,4383090,213967,247173,288452,60394232,157419,9589184,23066,30305309,0
6121768,464895,7571745,896110,1309996,22351,8350236,466069,75523,5023389,5023389,246029,278320,310222,63791466,167796,9374394,25672,29922364,0
5494499,345615,6918978,718928,1235248,18123,14041342,575725,78151,6288400,6288400,300120,251505,306233,67256472,147152,9700713,17323,37559035,0
15182663,722720,12991431,1348329,2748263,37246,28597209,1318913,149372,15874013,15873016,750889,861751,545103,263115013,369593,19976841,55377,72410647,0
4143392676,26575985,4092523189,106180273,48833901,4405560,1964890782,23693676,15241250,2339915589,2339457204,35311796,35078539,30650423,16005234481,23767043,4842682795,2027716,12505319952,0
4775437,341863,4970072,578720,1150690,18141,10352186,432751,66002,4388212,4388212,216562,254385,335456,62993622,162583,7282713,16336,22827866,0
5835789,367276,4535374,796395,939419,20283,6777126,336741,70507,5100276,5100362,258426,275581,343667,71985409,171275,8106949,19028,25468336,0
5450647,335245,5605831,604107,848474,16130,7391755,330099,75944,6317676,6317676,300315,240507,283555,62776363,138442,8402224,18584,33178985,0
14623279,685798,12128110,1156846,1959521,29929,22863956,1007119,149585,15800180,15800180,737531,858099,455216,253012394,340489,19165585,48219,69532269,0
8222174,455766,6018985,669114,3251607,87677,38760549,1677111,262155,53171045,53155830,2023995,1964142,421724,285767937,486059,72174723,165073,264748270,0
6905615,457482,7836577,742206,1125984,21120,12904257,389062,76279,5247971,5247971,240593,250719,298636,68955356,145997,7101296,17451,22197312,0
6704916,388313,5673307,829545,1190666,22525,10568148,391530,80108,5871309,5871309,265415,272889,291255,64762613,164723,7999795,23947,25073577,0
6464194,387949,5576348,549152,917978,15438,13251912,312148,82425,7141963,7144304,323215,237645,293343,59289357,132701,8385932,18011,32877332,0
14787081,680387,12056403,1227373,1860032,29634,23784803,814515,129722,11420776,11420776,682055,889615,512458,267650283,373733,20655936,51007,77086675,0
187471312,5254624,177836577,13115714,15462496,487179,182614070,7054990,671650,121936398,121935700,3583186,3585092,1120986,803107048,1975290,334007040,721690,1074854430,0
3579876,312496,6067643,691349,884516,16046,8718501,361210,65852,4385034,4384041,214061,255602,344864,65739878,159292,8521849,21146,27168799,0
6897990,337991,4662932,738703,956552,15928,3103151,305103,69528,4996665,4999895,234002,272565,308897,64078356,166593,9627061,25016,30177138,0
6122354,389412,6082853,693126,830927,12761,4915507,247308,82615,7173944,7173944,322107,232601,263986,57113526,137406,10748250,19534,43782673,0
17311174,706718,9946286,1159962,2333956,33919,20029211,1045680,152639,17029999,17027366,772927,856640,477714,263868446,360179,19950629,61940,71669825,0
73478844,4960057,82775291,9434391,14884159,174668,151648477,7797463,771608,93531764,93491745,3591783,3668063,939193,635075723,1052975,104977397,403547,381046000,0
4434776,347871,4131065,688485,1092603,17125,7923163,439334,77018,5370654,5370654,262775,263338,294820,63192574,153542,7430156,23434,23022447,0
5278662,426779,5808175,718727,1038672,18485,6535836,364614,87815,6073276,6062994,294342,295783,320517,70800458,184534,8119183,25129,25636860,0
5718546,321714,4844043,609567,1057764,16867,11066394,459294,77187,5821471,5821471,251220,255761,307166,65465440,149105,8447531,17412,33305471,0
12751886,675448,13752397,1459507,1751758,33588,10558221,812818,292061,47374265,47374265,870511,868865,529926,257021983,372513,19589203,49799,70925488,0
413354833,13659016,422117809,28812324,67965582,791271,1020468480,44777805,221688,40051190,40051350,1496456,1638499,387969,244443181,395137,690789474,2500941,2481074386,0
3965945,466265,7556320,703142,1646141,23302,7811245,504144,66901,4637081,4637081,217398,252077,275356,60743588,148537,10366054,25843,33392259,0
5518827,443853,5906591,669537,1233672,23433,10079762,537592,81100,5372538,5372538,262006,327053,298577,67602443,168744,10282930,26218,32480688,0
5905508,361743,5176330,660429,1417363,19068,16002826,694095,76946,6280800,6280818,300838,260143,272423,60309533,134154,10433871,18160,39766238,0
14534422,751101,15075747,1237441,2928069,43506,29591765,1267677,101338,9607387,9607387,534645,848567,470178,247034275,317339,21062245,66589,75681472,0
