性能计数器事件,中文说明
branch-instructions,分支指令数
branch-misses,分支预测失败次数
bus-cycles,总线周期数
cache-misses,缓存未命中次数
cache-references,缓存引用次数
cpu-cycles,CPU周期数
instructions,指令执行数
ref-cycles,参考周期数
L1-dcache-load-misses,L1数据缓存加载未命中次数
L1-dcache-loads,L1数据缓存加载次数
L1-dcache-stores,L1数据缓存存储次数
L1-icache-load-misses,L1指令缓存加载未命中次数
LLC-loads,最后一级缓存加载次数
LLC-stores,最后一级缓存存储次数
branch-load-misses,分支加载未命中次数
dTLB-load-misses,数据TLB加载未命中次数
dTLB-loads,数据TLB加载次数
dTLB-store-misses,数据TLB存储未命中次数
dTLB-stores,数据TLB存储次数
iTLB-load-misses,指令TLB加载未命中次数 
